a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
0.890625,-0.290305,0.900892,-0.290038,-0.290305,0.891771,-0.0151828,0.0,2179520000.0,279256000.0,728456000.0,0.00236549,-0.229917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7325,-0.520905,0.833258,-0.524897,-0.520905,0.771165,-0.0808208,0.0,3178710000.0,495849000.0,1150760000.0,0.349803,-0.448932,0.0,12.0,0.03,0.59925,0.0,0.0,0.0,0.0
1.366,-0.414269,0.537362,-0.424281,-0.414269,0.441516,-0.175512,0.0,3406790000.0,928569000.0,1457920000.0,-0.266503,-0.404906,0.0,29.0,3.53,8.77343,0.0,39.0,22.6541,6.0545
5.825,-0.0442368,0.580765,-0.0594007,-0.0442368,0.579943,-0.0346545,0.0,65.0,3.56,3.89441,0.0922758,0.140026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.97,-0.139987,0.646583,-0.137526,-0.139987,0.639519,-0.0265306,0.0,81.0,5.61,13.8083,-0.261198,-0.0348655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91875,-0.428564,0.791385,-0.429202,-0.428564,0.744449,-0.0645359,0.0,3905330000.0,463762000.0,1263350000.0,-0.0257455,-0.107659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7875,-0.632643,0.873399,-0.631139,-0.632643,0.788914,-0.0680079,0.0,2156230000.0,359022000.0,800752000.0,0.325335,-0.558902,0.0,12.0,0.09,1.03533,0.0,30.0,16.8052,4.39536
1.422,-0.135933,0.4382,-0.175721,-0.135933,0.427624,-0.104108,0.0,1190710000.0,290941000.0,485979000.0,-0.1059,-0.356542,0.0,29.0,3.456,8.73316,0.0,40.0,22.5541,5.92061
4.06625,-0.0783012,0.445334,0.00750087,-0.0783012,0.441913,0.076976,0.0,65.0,7.9675,3.47188,-0.490573,0.218856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.18,-0.260986,0.0937519,-0.0742002,-0.260986,0.0275119,-0.0464197,0.0,21897.0,121.815,1543.69,-0.22696,-0.267625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73125,-0.212111,0.761745,-0.213732,-0.212111,0.750521,-0.0341164,0.0,3492150000.0,447436000.0,1167180000.0,-0.0210088,-0.154267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,-0.856856,0.900459,-0.868854,-0.856856,0.625502,-0.271564,0.0,3109210000.0,430430000.0,1024990000.0,0.296677,-0.50479,0.0,29.0,0.1625,1.77654,0.0,32.0,17.8844,4.94465
1.358,-0.411873,0.710509,-0.417321,-0.411873,0.651368,-0.0983505,0.0,4026680000.0,953943000.0,1706920000.0,-0.231374,-0.343326,0.0,29.0,3.25,8.57458,0.0,0.0,0.0,0.0
